figure_id,strain,display_name,group,target_mic_operational_label,target_length,guidance_method,row_index,predicted_mic_umol,log2_predicted_mic,source_cache_id
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,129,27.25,4.768184185,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,130,33.75,5.076815605,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,131,45.5,5.507794857,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,132,25.125,4.651051521,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,133,17.375,4.118941307,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,134,71,6.149746895,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,135,268,8.06608963,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,136,126,6.97728014,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,137,16,4,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,138,52,5.70043993,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,139,113,6.820178986,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,140,44,5.459431648,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,141,24.875,4.636624813,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,142,13.375,3.741466999,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,143,129,7.011227131,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,144,22.375,4.48381567,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,145,143,7.159871101,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,146,21,4.392317295,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,147,25,4.643856049,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,148,29.25,4.870364666,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,149,21.25,4.409390926,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,150,7.8125,2.965784311,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,151,10.5,3.392317533,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,152,27.625,4.787902355,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,153,5.96875,2.577428818,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,154,25,4.643856049,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,155,6.75,2.754887581,baa3170_guided_scoring_cache
