index,attention_weight,selected
131,2.934726217063144e-05,False
132,1.7883823488773487e-07,False
133,2.4763401142990915e-06,False
134,2.9156126402085647e-06,False
135,7.471367280231789e-05,False
136,0.00011845074186567217,False
137,1.6742172874728567e-06,False
138,0.0006473877583630383,False
139,1.694055526968441e-07,False
140,4.04080274165608e-05,False
141,2.2724507289240137e-05,False
142,0.00012798111129086465,False
143,0.00011840234219562262,False
144,4.580341737892013e-06,False
145,3.6800694942940027e-05,False
146,0.0002114422677550465,False
147,0.0007765888585709035,False
148,0.0004624263965524733,False
149,0.0016996008343994617,False
150,0.00016719529230613261,False
151,0.0005386561388149858,False
152,1.359207362838788e-05,False
153,2.897863305406645e-05,False
154,1.3688496380837023e-07,False
155,1.500628968642559e-06,False
156,0.0001891391584649682,False
157,0.0004230834310874343,False
158,6.0703212511725724e-05,False
159,0.07566603273153305,True
160,0.12475599348545074,True
161,0.0004236484528519213,False
162,0.0008330869022756815,False
163,0.17982842028141022,True
164,4.77716421301011e-05,False
165,2.514329389669001e-05,False
166,0.0036346628330647945,False
167,5.1207047363277525e-05,False
168,0.0004179736424703151,False
169,1.1025483217963483e-05,False
170,0.0004765623598359525,False
171,1.3583249938164954e-06,False
172,2.7090510457128403e-07,False
173,3.6702520134213046e-08,False
174,8.86102725417004e-07,False
175,1.1770887795137241e-05,False
176,0.00016240373952314258,False
177,1.3513995611447172e-07,False
178,2.7564138349589484e-07,False
179,1.29366043211121e-07,False
180,4.116854057656383e-08,False
181,5.906747537665069e-05,False
182,4.09193262385088e-07,False
183,1.2360648042886169e-06,False
184,2.6373061245976714e-07,False
185,1.8078145203048734e-08,False
186,2.8540312086988706e-06,False
187,2.2801136978500836e-08,False
188,2.385821289863088e-06,False
189,0.0006349575705826283,False
190,0.0011636107228696346,False
191,0.00043116285814903677,False
192,5.803773456136696e-05,False
193,2.028205562965013e-05,False
194,0.000191908999113366,False
195,5.8315659856589264e-08,False
196,2.4295241018990055e-07,False
197,0.03281643986701965,False
198,1.370563950331416e-06,False
199,0.0002862592809833586,False
200,1.6395848433603533e-05,False
201,0.00410796282812953,False
202,0.0022339578717947006,False
203,0.0018086142372339964,False
204,0.002233040053397417,False
205,0.0016084028175100684,False
206,0.0004576341016218066,False
207,5.253325798548758e-05,False
208,0.0014645304763689637,False
209,0.000263016001554206,False
210,7.939786883071065e-06,False
211,0.0006732531473971903,False
212,9.240612598659936e-06,False
213,0.0002025063004111871,False
214,6.340063555398956e-05,False
215,6.477178249042481e-05,False
216,4.975334741175175e-05,False
217,0.0008323487709276378,False
218,0.007674563210457563,False
219,0.004654920659959316,False
220,8.394838368985802e-05,False
221,0.0003118035674560815,False
222,0.0001252852234756574,False
223,4.58006843473413e-06,False
224,3.341000649470516e-07,False
225,3.291930988780223e-05,False
226,9.170192788587883e-05,False
227,9.457395935896784e-05,False
228,2.428610287097399e-06,False
229,0.00016791941015981138,False
230,0.0001223494327859953,False
231,0.0004587323637679219,False
232,0.000623860745690763,False
233,0.00013475723972078413,False
234,0.00017631960508879274,False
235,0.015926120802760124,False
236,0.0006986376247368753,False
237,0.00015881977742537856,False
238,0.018719984218478203,False
239,0.00048297340981662273,False
240,0.00015550252282992005,False
241,0.000527645752299577,False
242,0.010378520004451275,False
243,0.004290158860385418,False
244,0.0026860758662223816,False
245,7.25005884305574e-05,False
246,1.4447205103351735e-06,False
247,2.3528631487579332e-08,False
248,4.7115649067563936e-05,False
249,1.2088664334442e-05,False
250,4.5955414407217177e-07,False
251,1.3647049001974665e-07,False
252,8.661114492269917e-08,False
253,1.9496073946356773e-06,False
254,2.1194252894929377e-06,False
255,6.307910211944545e-07,False
256,5.085236807644833e-06,False
257,5.579461515026196e-08,False
